3.019659555781197;0.0	4.605872114513193;0.0	4.290193921876942;0.0	4.567389967685874;0.0	4.435395633157071;0.0	
3.683767576813742;0.0	4.913480480077015;0.0	4.723733376986377;0.0	4.850009970510269;0.0	4.287203939204126;0.0	
1.3029460752688038;0.0	5.022859486718351;0.0	4.758389273532117;0.0	4.751016112157209;0.0	4.638026409539704;0.0	
3.346694913284462;0.0	4.816648403865799;0.0	4.187181990867753;0.0	4.4483663735274845;0.0	4.379594697292914;0.0	
4.020888410287161;0.0	5.307870554118763;0.0	5.682522278610832;0.0	5.498243158489363;0.0	4.886803082024172;0.0	
5.404647788185617;0.0	6.366436778449676;0.0	6.794824191303435;0.0	6.383722380236114;0.0	6.126225378529272;0.0	
5.649712399388169;0.0	6.5273733347075655;0.0	6.231030586155059;0.0	6.692980482024684;0.0	6.674172868116752;0.0	
6.503069645243347;0.0	6.18656607467769;0.0	5.88082828013179;0.0	6.336051345547167;0.0	6.187840414294301;0.0	
9.13703490355617;0.0	9.303376658134237;0.0	8.575940352203629;0.0	8.588307917857207;0.0	8.98567237830635;0.0	
8.40035079808029;0.0	8.825827592198443;0.0	8.178680545082992;0.0	8.988046057780378;0.0	9.506710494552705;0.0	
9.428741110344747;0.0	9.600050311224255;0.0	8.67138419371469;0.0	9.667422229712407;0.0	8.887258171653672;0.0	
8.190261831947039;0.0	8.013774350105942;0.0	8.48359476826661;0.0	10.662714311915705;0.0	8.425499032512777;0.0	
7.310073348103702;0.0	8.140498888881622;0.0	7.376237131426182;0.0	10.063284783477382;0.0	9.065233953485878;0.0	
9.299952703659441;0.0	9.485678543748113;0.0	8.765738142014605;0.0	8.300381503289788;0.0	8.614516526069144;0.0	
8.87529198395865;0.0	9.589608993491714;0.0	8.564635006726498;0.0	9.296850308873854;0.0	8.664902137577126;0.0	
8.569833754276237;0.0	8.512139615958864;0.0	8.05414686654368;0.0	9.041075986305435;0.0	8.374276068553398;0.0	
8.62302071799979;0.0	8.657705298122641;0.0	8.216494275734195;0.0	9.70988778638307;0.0	8.625581027132496;0.0	
9.997829331206686;0.0	9.767864407148846;0.0	8.812383776539047;0.0	9.60749061791514;0.0	9.426310016655068;0.0	
9.734351492677135;0.0	9.594815016733326;0.0	8.978029162759224;0.0	9.123774039047722;0.0	8.99162674922338;0.0	
8.672391541619769;0.0	9.277748396388796;0.0	8.05336816032729;0.0	8.569252037886548;0.0	7.447804784457134;0.0	
8.410821971809625;0.0	8.205940439313462;0.0	8.38641805362606;0.0	7.832722456001572;0.0	6.559535590617072;0.0	
3.966090558098739;0.0	4.855233440837777;0.0	5.837238633562745;0.0	4.8054138175200185;0.0	4.3389537959003475;0.0	
3.297622818175143;0.0	5.084007216425862;0.0	4.556716564179831;0.0	4.712206005163028;0.0	4.216945601194414;0.0	
5.448593240948059;0.0	6.380964241178865;0.0	5.15645140818105;0.0	6.251978002638603;0.0	5.671386898642382;0.0	
4.613606926684331;0.0	5.693168287368018;0.0	5.062801620450189;0.0	5.49057831356329;0.0	5.194146183489588;0.0	
4.054960774716102;0.0	4.984903026248005;0.0	4.867278954991091;0.0	5.044327619511666;0.0	4.6427756913715115;0.0	
7.03317045765687;0.0	8.723954851024686;0.0	7.845385223591732;0.0	7.561940253040883;0.0	6.7352649879779385;0.0	
7.08466803778425;0.0	6.998940086317404;0.0	7.554294223010948;0.0	7.174916802698786;0.0	6.273591639719743;0.0	
8.081097565916878;0.0	9.06018292305163;0.0	6.9972286317904695;0.0	6.729285218246148;0.0	6.1428242617548765;0.0	
9.607313959755404;0.0	9.220147018787989;0.0	7.845878884098006;0.0	7.389655639098073;0.0	6.702846829408053;0.0	
7.430309587718602;0.0	8.362764384999966;0.0	6.231251504558369;0.0	5.95643866240392;0.0	5.249346013431604;0.0	
6.378022183434568;0.0	7.417946171889759;0.0	4.9428419893206375;0.0	4.810862474888101;0.0	5.316906117864543;0.0	
7.813684976128625;0.0	7.628907336612127;0.0	5.269072410173991;0.0	5.428602494057288;0.0	5.945115177213827;0.0	
8.778847304308215;0.0	8.941797553778716;0.0	5.485605524181782;0.0	6.680012911520627;0.0	5.512309330282879;0.0	
5.9522148845690825;0.0	8.01485087096594;0.0	5.255276627827042;0.0	6.303959186151567;0.0	5.381575704500113;0.0	
5.096315410104795;0.0	7.694807029708911;0.0	5.699595514724966;0.0	6.257068535298867;0.0	5.259803420282242;0.0	
8.959448617313527;0.0	9.848837873000939;0.0	7.908846875702161;0.0	8.588559743976036;0.0	6.685762655128022;0.0	
6.032386799612161;0.0	10.23144643710983;0.0	8.857840080663633;0.0	8.05170958451557;0.0	7.105979618560482;0.0	
7.8257358769623915;0.0	8.852704646651688;0.0	7.104949441180086;0.0	6.200751369089239;0.0	5.379580396070765;0.0	
7.346743825269274;0.0	7.837891042434427;0.0	6.308696605281122;0.0	6.37658073240938;0.0	5.820245712410077;0.0	
7.405180378899787;0.0	8.35640264279875;0.0	7.410659716722489;0.0	7.017927915882137;0.0	5.946574374019871;0.0	
